Inspection_ID,Product,Production_Line,Machine,Shift,Temperature,Humidity,Voltage,Current,Vibration,Production_Speed,Operator,Material_Type,Defect_Type,Severity,Inspection_Result,Downtime_Minutes,Maintenance_Status,AI_Risk_Score,Inspection_Date
I0001,LED Driver,L3,M4,Evening,50,41,133.68,1.93,0.71,95,OP125,Aluminum,PCB Crack,High,Fail,54,Warning,71,2025-01-02
I0002,Camera Module,L3,M4,Morning,48,46,4.8,1.78,3.53,113,OP130,FR4,Short Circuit,Low,Pass,18,Critical,22,2025-01-03
I0003,Microcontroller Board,L2,M1,Evening,37,61,99.85,1.58,1.0,89,OP106,Aluminum,Open Circuit,Medium,Pass,43,Good,30,2025-01-04
I0004,Wi-Fi Module,L2,M4,Night,37,45,82.32,3.79,2.55,124,OP114,Aluminum,PCB Crack,Low,Fail,18,Warning,99,2025-01-05
I0005,Camera Module,L2,M5,Morning,53,51,179.6,2.78,2.73,150,OP116,Ceramic,Solder Bridge,Medium,Fail,15,Warning,27,2025-01-06
I0006,Battery Pack,L3,M2,Night,39,43,186.92,3.21,0.59,113,OP114,Ceramic,Burn Mark,Low,Fail,27,Critical,47,2025-01-07
I0007,Display Unit,L2,M5,Morning,37,51,184.83,2.94,3.14,127,OP108,FR4,Burn Mark,Medium,Pass,17,Warning,88,2025-01-08
I0008,LED Driver,L2,M3,Morning,44,53,142.83,2.12,3.9,125,OP122,Ceramic,Loose Connection,Medium,Fail,33,Warning,89,2025-01-09
I0009,Relay Module,L3,M1,Evening,54,42,77.05,2.64,2.82,89,OP117,FR4,Short Circuit,Medium,Pass,4,Good,41,2025-01-10
I0010,PCB,L4,M2,Morning,51,58,74.54,2.77,3.86,137,OP108,Copper,Short Circuit,Low,Pass,20,Critical,65,2025-01-11
I0011,Relay Module,L4,M1,Morning,36,42,188.64,3.21,3.82,139,OP128,Copper,Loose Connection,Low,Pass,33,Critical,74,2025-01-12
I0012,Power Supply Unit,L2,M3,Night,47,61,44.22,1.2,3.9,94,OP125,Ceramic,PCB Crack,Low,Pass,26,Good,66,2025-01-13
I0013,Display Unit,L3,M5,Morning,49,62,111.08,1.72,3.4,127,OP110,Ceramic,Burn Mark,High,Pass,3,Critical,10,2025-01-14
I0014,Camera Module,L3,M4,Evening,47,63,222.22,1.07,2.22,102,OP127,Ceramic,Solder Bridge,Low,Fail,57,Warning,39,2025-01-15
I0015,Relay Module,L2,M4,Night,43,50,113.74,0.57,4.15,90,OP110,Aluminum,Solder Bridge,Medium,Fail,56,Good,20,2025-01-16
I0016,Display Unit,L4,M5,Morning,50,64,65.91,1.46,3.33,147,OP119,FR4,Short Circuit,High,Fail,3,Warning,15,2025-01-17
I0017,LED Driver,L1,M1,Evening,52,62,13.62,4.31,1.62,141,OP128,FR4,Short Circuit,Low,Fail,0,Warning,91,2025-01-18
I0018,Power Supply Unit,L3,M2,Morning,44,62,210.79,0.33,2.96,109,OP111,FR4,Open Circuit,Low,Pass,1,Good,89,2025-01-19
